filename,max_lat,min_lat,max_lon,min_lon,file_type,file_size_mb,file_format,version,created,utmzone,srs,epsg_code,match,fullpath,uc,nuc
DUC_A01_2008_laz_0.laz,-2.943602395,-2.950397088,-59.90898111,-59.924196,pointcloud,179.151155,LAS/LAZ,1.0,0/0,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32720,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/DUC_A01_2008_laz_0.laz,[1],1.0
DUC_A01_2008_laz_1.laz,-2.945930207,-2.952627181,-59.92350513,-59.93810504,pointcloud,169.054604,LAS/LAZ,1.0,0/0,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32720,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/DUC_A01_2008_laz_1.laz,[1],1.0
DUC_A01_2008_laz_10.laz,-2.953575174,-2.96037083,-59.90746135,-59.92267544,pointcloud,250.851913,LAS/LAZ,1.0,0/0,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32720,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/DUC_A01_2008_laz_10.laz,[1],1.0
DUC_A01_2008_laz_11.laz,-2.95590395,-2.962600439,-59.92198501,-59.93658563,pointcloud,259.230386,LAS/LAZ,1.0,0/0,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32720,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/DUC_A01_2008_laz_11.laz,[1],1.0
DUC_A01_2008_laz_12.laz,-2.937795712,-2.944492567,-59.92474684,-59.93934651,pointcloud,151.558853,LAS/LAZ,1.0,0/0,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32720,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/DUC_A01_2008_laz_12.laz,[1],1.0
DUC_A01_2008_laz_13.laz,-2.933218836,-2.942262679,-59.89615739,-59.92544205,pointcloud,292.648699,LAS/LAZ,1.0,0/0,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32720,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/DUC_A01_2008_laz_13.laz,[1],1.0
DUC_A01_2008_laz_2.laz,-2.942254814,-2.949058439,-59.95256777,-59.96787,pointcloud,163.144032,LAS/LAZ,1.0,0/0,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32720,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/DUC_A01_2008_laz_2.laz,[1],1.0
DUC_A01_2008_laz_3.laz,-2.948159708,-2.954856079,-59.93741515,-59.952017,pointcloud,172.075494,LAS/LAZ,1.0,0/0,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32720,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/DUC_A01_2008_laz_3.laz,[1],1.0
DUC_A01_2008_laz_4.laz,-2.941369834,-2.948069224,-59.89503185,-59.90967261,pointcloud,167.383647,LAS/LAZ,1.0,0/0,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32720,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/DUC_A01_2008_laz_4.laz,[1],1.0
DUC_A01_2008_laz_5.laz,-2.9603634,-2.967038441,-59.94980621,-59.96431138,pointcloud,137.076985,LAS/LAZ,1.0,0/0,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32720,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/DUC_A01_2008_laz_5.laz,[1],1.0
DUC_A01_2008_laz_6.laz,-2.958133144,-2.964830113,-59.93589475,-59.95049705,pointcloud,236.315405,LAS/LAZ,1.0,0/0,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32720,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/DUC_A01_2008_laz_6.laz,[1],1.0
DUC_A01_2008_laz_7.laz,-2.951197724,-2.95804227,-59.89260404,-59.90815208,pointcloud,250.124186,LAS/LAZ,1.0,0/0,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32720,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/DUC_A01_2008_laz_7.laz,[1],1.0
DUC_A01_2008_laz_8.laz,-2.94002645,-2.946721888,-59.93865706,-59.95325823,pointcloud,142.781798,LAS/LAZ,1.0,0/0,20S,"+proj=utm +zone=20 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs ",32720,1,/media/ljp238/12TBWolf/ARCHIEVE/Brazil_ORNL_laz/DUC_A01_2008_laz_8.laz,[1],1.0
